Nr,Denumire Marfuri,U.M.,Pret MDL,Pret MDL -10%
2,25 Carota Diamantata,buc,1050,855
3,32 Carota Diamantata,buc,1090,900
4,40 Carota Diamantata,buc,1100,990
5,50 Carota Diamantata,buc,1240,1116
6,60 Carota Diamantata,buc,1290,1161
7,65 Carota Diamantata,buc,1380,1242
8,70 Carota Diamantata,buc,1500,1350
9,75 Carota Diamantata,buc,1525,1372
10,85 Carota Diamantata,buc,1595,1435
11,90 Carota Diamantata,buc,1660,1494
12,100 Carota Diamantata,buc,1710,1539
13,110 Carota Diamantata,buc,1895,1705
14,120 Carota Diamantata,buc,2015,1813
15,125 Carota Diamantata,buc,2085,1876
16,130 Carota Diamantata,buc,2130,1917
17,150 Carota Diamantata,buc,2460,2214
18,160 Carota Diamantata,buc,2530,2277
19,180 Carota Diamantata,buc,2975,2677
20,200 Carota Diamantata,buc,3090,2781
21,250 Carota Diamantata,buc,4215,3793
22,300 Carota Diamantata,buc,4915,4423
23,350 Carota Diamantata,buc,6180,5562
24,400 Carota Diamantata,buc,6695,6025
25,450 Carota Diamantata,buc,7605,6844
